StationID,Survey,Strata,TrendStrata,AreaWeight,LOE,Score,Category
B98-2152,1998,other,Ports/Marinas/Bays,1.798513625,SQO Integrated,1,Unimpacted
B98-2152,1998,other,Shelf,1.798513625,Toxicity,1,None
B98-2153,1998,other,Shelf,1.798513625,Benthic,1,None
B98-2153,1998,other,Shelf,1.798513625,Chemistry,2,Low
B98-2153,1998,other,Shelf,1.798513625,SQO Integrated,1,Unimpacted
B98-2153,1998,other,Shelf,1.798513625,Toxicity,1,None
B98-2154,1998,other,Shelf,1.798513625,Benthic,2,Low
B98-2154,1998,other,Shelf,1.798513625,Chemistry,2,Low
B98-2154,1998,other,Shelf,1.798513625,SQO Integrated,1,Unimpacted
B98-2154,1998,other,Shelf,1.798513625,Toxicity,1,None
B98-2155,1998,other,Shelf,1.798513625,Benthic,2,Low
B98-2155,1998,other,Shelf,1.798513625,Chemistry,3,Moderate
B98-2155,1998,other,Shelf,1.798513625,SQO Integrated,3,Possibly impacted
B98-2155,1998,other,Shelf,1.798513625,Toxicity,2,Low
B98-2156,1998,other,Shelf,1.798513625,Benthic,2,Low
B98-2156,1998,other,Shelf,1.798513625,Chemistry,4,High
B98-2156,1998,other,Ports/Marinas/Bays,1.798513625,SQO Integrated,3,Possibly impacted
B98-2156,1998,other,Shelf,1.798513625,Toxicity,2,Low
B98-2157,1998,other,Shelf,1.798513625,Benthic,2,Low
B98-2157,1998,other,Shelf,1.798513625,Chemistry,2,Low
B98-2157,1998,other,Ports/Marinas/Bays,1.798513625,SQO Integrated,3,Possibly impacted
B98-2157,1998,other,Shelf,1.798513625,Toxicity,3,Moderate
B98-2158,1998,other,Shelf,1.798513625,Benthic,1,None
B98-2158,1998,other,Shelf,1.798513625,Chemistry,2,Low
B98-2158,1998,other,Shelf,1.798513625,SQO Integrated,1,Unimpacted
B98-2158,1998,other,Shelf,1.798513625,Toxicity,1,None
B98-2159,1998,other,Shelf,1.798513625,Benthic,1,None
B98-2159,1998,other,Shelf,1.798513625,Chemistry,2,Low
B98-2159,1998,other,Shelf,1.798513625,SQO Integrated,2,Likely unimpacted
B98-2159,1998,other,Shelf,1.798513625,Toxicity,3,Moderate
B98-2160,1998,other,Shelf,1.798513625,Benthic,2,Low
B98-2160,1998,other,Shelf,1.798513625,Chemistry,2,Low
B98-2160,1998,other,Shelf,1.798513625,SQO Integrated,2,Likely unimpacted
B98-2160,1998,other,Shelf,1.798513625,Toxicity,2,Low
B98-2161,1998,other,Shelf,1.798513625,Benthic,1,None
B98-2161,1998,other,Shelf,1.798513625,Chemistry,3,Moderate
B98-2161,1998,other,Shelf,1.798513625,SQO Integrated,2,Likely unimpacted
B98-2161,1998,other,Shelf,1.798513625,Toxicity,2,Low
B98-2162,1998,other,Shelf,1.798513625,Benthic,4,High
B98-2162,1998,other,Shelf,1.798513625,Chemistry,3,Moderate
B98-2162,1998,other,Ports/Marinas/Bays,1.798513625,SQO Integrated,3,Possibly impacted
B98-2162,1998,other,Shelf,1.798513625,Toxicity,1,None
B98-2163,1998,other,Shelf,1.798513625,Benthic,1,None
B98-2163,1998,other,Shelf,1.798513625,Chemistry,3,Moderate
B98-2163,1998,other,Shelf,1.798513625,SQO Integrated,2,Likely unimpacted
B98-2163,1998,other,Shelf,1.798513625,Toxicity,2,Low
B98-2164,1998,other,Shelf,1.798513625,Benthic,1,None
B98-2164,1998,other,Shelf,1.798513625,Chemistry,1,None
B98-2164,1998,other,Shelf,1.798513625,SQO Integrated,1,Unimpacted
B98-2164,1998,other,Shelf,1.798513625,Toxicity,1,None
B98-2167,1998,other,Shelf,1.798513625,Benthic,2,Low
B98-2167,1998,other,Shelf,1.798513625,Chemistry,3,Moderate
B98-2167,1998,other,Shelf,1.798513625,SQO Integrated,3,Possibly impacted
B98-2167,1998,other,Shelf,1.798513625,Toxicity,2,Low
B98-2168,1998,other,Shelf,1.798513625,Benthic,2,Low
B98-2168,1998,other,Shelf,1.798513625,Chemistry,3,Moderate
B98-2168,1998,other,Shelf,1.798513625,SQO Integrated,3,Possibly impacted
B98-2168,1998,other,Shelf,1.798513625,Toxicity,3,Moderate
B98-2169,1998,port,Ports/Marinas/Bays,1.420110193,Benthic,3,Moderate
B98-2169,1998,port,Ports/Marinas/Bays,1.420110193,Chemistry,4,High
B98-2169,1998,Port,Ports/Marinas/Bays,1.420110193,SQO Integrated,5,Clearly impacted
B98-2169,1998,port,Ports/Marinas/Bays,1.420110193,Toxicity,3,Moderate
B98-2170,1998,port,Ports/Marinas/Bays,1.420110193,Benthic,2,Low
B98-2170,1998,port,Ports/Marinas/Bays,1.420110193,Chemistry,4,High
B98-2170,1998,Port,Ports/Marinas/Bays,1.420110193,SQO Integrated,4,Likely impacted
B98-2170,1998,port,Ports/Marinas/Bays,1.420110193,Toxicity,4,High
B98-2172,1998,port,Ports/Marinas/Bays,1.420110193,Benthic,2,Low
B98-2172,1998,port,Ports/Marinas/Bays,1.420110193,Chemistry,3,Moderate
B98-2172,1998,Port,Ports/Marinas/Bays,1.420110193,SQO Integrated,3,Possibly impacted
B98-2172,1998,port,Ports/Marinas/Bays,1.420110193,Toxicity,2,Low
B98-2173,1998,port,Ports/Marinas/Bays,1.420110193,Benthic,2,Low
B98-2173,1998,port,Ports/Marinas/Bays,1.420110193,Chemistry,3,Moderate
B98-2173,1998,Port,Ports/Marinas/Bays,1.420110193,SQO Integrated,3,Possibly impacted
B98-2173,1998,port,Ports/Marinas/Bays,1.420110193,Toxicity,2,Low
B98-2174,1998,port,Ports/Marinas/Bays,1.420110193,Benthic,2,Low
B98-2174,1998,port,Ports/Marinas/Bays,1.420110193,Chemistry,3,Moderate
B98-2174,1998,Port,Ports/Marinas/Bays,1.420110193,SQO Integrated,1,Unimpacted
B98-2174,1998,port,Ports/Marinas/Bays,1.420110193,Toxicity,1,None
B98-2175,1998,port,Ports/Marinas/Bays,1.420110193,Benthic,2,Low
B98-2175,1998,port,Ports/Marinas/Bays,1.420110193,Chemistry,2,Low
B98-2175,1998,Port,Ports/Marinas/Bays,1.420110193,SQO Integrated,1,Unimpacted
B98-2175,1998,port,Ports/Marinas/Bays,1.420110193,Toxicity,1,None
B98-2176,1998,port,Ports/Marinas/Bays,1.420110193,Benthic,3,Moderate
B98-2176,1998,port,Ports/Marinas/Bays,1.420110193,Chemistry,2,Low
B98-2176,1998,Port,Ports/Marinas/Bays,1.420110193,SQO Integrated,4,Likely impacted
B98-2176,1998,port,Ports/Marinas/Bays,1.420110193,Toxicity,3,Moderate
B98-2177,1998,port,Ports/Marinas/Bays,1.420110193,Benthic,4,High
B98-2177,1998,port,Ports/Marinas/Bays,1.420110193,Chemistry,2,Low
B98-2177,1998,Port,Ports/Marinas/Bays,1.420110193,SQO Integrated,4,Likely impacted
B98-2177,1998,port,Ports/Marinas/Bays,1.420110193,Toxicity,3,Moderate
B98-2178,1998,port,Ports/Marinas/Bays,1.420110193,Benthic,2,Low
B98-2178,1998,port,Ports/Marinas/Bays,1.420110193,Chemistry,3,Moderate
B98-2178,1998,Port,Ports/Marinas/Bays,1.420110193,SQO Integrated,3,Possibly impacted
B98-2178,1998,port,Ports/Marinas/Bays,1.420110193,Toxicity,2,Low
B98-2179,1998,port,Ports/Marinas/Bays,1.420110193,Benthic,2,Low
B98-2179,1998,port,Ports/Marinas/Bays,1.420110193,Chemistry,2,Low
B98-2179,1998,Port,Ports/Marinas/Bays,1.420110193,SQO Integrated,3,Possibly impacted
B98-2179,1998,port,Ports/Marinas/Bays,1.420110193,Toxicity,3,Moderate
B98-2182,1998,port,Ports/Marinas/Bays,1.420110193,Benthic,4,High
B98-2182,1998,port,Ports/Marinas/Bays,1.420110193,Chemistry,2,Low
B98-2182,1998,Port,Ports/Marinas/Bays,1.420110193,SQO Integrated,3,Possibly impacted
B98-2182,1998,port,Ports/Marinas/Bays,1.420110193,Toxicity,2,Low
B98-2184,1998,port,Ports/Marinas/Bays,1.420110193,Benthic,2,Low
B98-2184,1998,port,Ports/Marinas/Bays,1.420110193,Chemistry,3,Moderate
B98-2184,1998,Port,Ports/Marinas/Bays,1.420110193,SQO Integrated,1,Unimpacted
B98-2184,1998,port,Ports/Marinas/Bays,1.420110193,Toxicity,1,None
B98-2185,1998,port,Ports/Marinas/Bays,1.420110193,Benthic,2,Low
B98-2185,1998,port,Ports/Marinas/Bays,1.420110193,Chemistry,1,None
B98-2185,1998,Port,Ports/Marinas/Bays,1.420110193,SQO Integrated,2,Likely unimpacted
B98-2185,1998,port,Ports/Marinas/Bays,1.420110193,Toxicity,2,Low
B98-2186,1998,port,Ports/Marinas/Bays,1.420110193,Benthic,1,None
B98-2186,1998,port,Ports/Marinas/Bays,1.420110193,Chemistry,2,Low
B98-2186,1998,Port,Ports/Marinas/Bays,1.420110193,SQO Integrated,1,Unimpacted
B98-2186,1998,port,Ports/Marinas/Bays,1.420110193,Toxicity,1,None
B98-2187,1998,port,Ports/Marinas/Bays,1.420110193,Benthic,1,None
B98-2187,1998,port,Ports/Marinas/Bays,1.420110193,Chemistry,2,Low
B98-2187,1998,Port,Ports/Marinas/Bays,1.420110193,SQO Integrated,1,Unimpacted
B98-2187,1998,port,Ports/Marinas/Bays,1.420110193,Toxicity,1,None
B98-2188,1998,port,Ports/Marinas/Bays,1.420110193,Benthic,2,Low
B98-2188,1998,port,Ports/Marinas/Bays,1.420110193,Chemistry,3,Moderate
B98-2188,1998,Port,Ports/Marinas/Bays,1.420110193,SQO Integrated,3,Possibly impacted
B98-2188,1998,port,Ports/Marinas/Bays,1.420110193,Toxicity,2,Low
B98-2190,1998,LPOTW,Shelf,8.787632221,Benthic,1,None
B98-2190,1998,LPOTW,Shelf,8.787632221,Chemistry,2,Low
B98-2190,1998,LPOTW,Shelf,8.787632221,SQO Integrated,1,Unimpacted
B98-2190,1998,LPOTW,Shelf,8.787632221,Toxicity,1,None
B98-2191,1998,LPOTW,Shelf,8.787632221,Benthic,1,None
B98-2191,1998,LPOTW,Shelf,8.787632221,Chemistry,2,Low
B98-2191,1998,LPOTW,Shelf,8.787632221,SQO Integrated,1,Unimpacted
B98-2191,1998,LPOTW,Shelf,8.787632221,Toxicity,1,None
B98-2192,1998,LPOTW,Shelf,8.787632221,Benthic,1,None
B98-2192,1998,LPOTW,Shelf,8.787632221,Chemistry,2,Low
B98-2192,1998,LPOTW,Shelf,8.787632221,SQO Integrated,1,Unimpacted
B98-2192,1998,LPOTW,Shelf,8.787632221,Toxicity,1,None
B98-2195,1998,LPOTW,Shelf,8.787632221,Benthic,2,Low
B98-2195,1998,LPOTW,Shelf,8.787632221,Chemistry,3,Moderate
B98-2195,1998,LPOTW,Shelf,8.787632221,SQO Integrated,1,Unimpacted
B98-2195,1998,LPOTW,Shelf,8.787632221,Toxicity,1,None
B98-2197,1998,LPOTW,Shelf,8.787632221,Benthic,1,None
B98-2197,1998,LPOTW,Shelf,8.787632221,Chemistry,3,Moderate
B98-2197,1998,LPOTW,Shelf,8.787632221,SQO Integrated,1,Unimpacted
B98-2197,1998,LPOTW,Shelf,8.787632221,Toxicity,1,None
B98-2199,1998,LPOTW,Shelf,8.787632221,Benthic,1,None
B98-2199,1998,LPOTW,Shelf,8.787632221,Chemistry,2,Low
B98-2199,1998,LPOTW,Shelf,8.787632221,SQO Integrated,1,Unimpacted
B98-2199,1998,LPOTW,Shelf,8.787632221,Toxicity,1,None
B98-2201,1998,LPOTW,Shelf,8.787632221,Benthic,1,None
B98-2201,1998,LPOTW,Shelf,8.787632221,Chemistry,4,High
B98-2201,1998,LPOTW,Shelf,8.787632221,SQO Integrated,2,Likely unimpacted
B98-2201,1998,LPOTW,Shelf,8.787632221,Toxicity,1,None
B98-2202,1998,LPOTW,Shelf,8.787632221,Benthic,3,Moderate
B98-2202,1998,LPOTW,Shelf,8.787632221,Chemistry,3,Moderate
B98-2202,1998,LPOTW,Shelf,8.787632221,SQO Integrated,3,Possibly impacted
B98-2202,1998,LPOTW,Shelf,8.787632221,Toxicity,1,None
B98-2205,1998,LPOTW,Shelf,8.787632221,Benthic,1,None
B98-2205,1998,LPOTW,Shelf,8.787632221,Chemistry,2,Low
B98-2205,1998,LPOTW,Shelf,8.787632221,SQO Integrated,1,Unimpacted
B98-2205,1998,LPOTW,Shelf,8.787632221,Toxicity,1,None
B98-2208,1998,LPOTW,Shelf,8.787632221,Benthic,1,None
B98-2208,1998,LPOTW,Shelf,8.787632221,Chemistry,1,None
B98-2208,1998,LPOTW,Shelf,8.787632221,SQO Integrated,1,Unimpacted
B98-2208,1998,LPOTW,Shelf,8.787632221,Toxicity,1,None
B98-2209,1998,LPOTW,Shelf,8.787632221,Benthic,1,None
B98-2209,1998,LPOTW,Shelf,8.787632221,Chemistry,1,None
B98-2209,1998,LPOTW,Shelf,8.787632221,SQO Integrated,1,Unimpacted
B98-2209,1998,LPOTW,Shelf,8.787632221,Toxicity,1,None
B98-2212,1998,LPOTW,Shelf,8.787632221,Benthic,1,None
B98-2212,1998,LPOTW,Shelf,8.787632221,Chemistry,3,Moderate
B98-2212,1998,LPOTW,Shelf,8.787632221,SQO Integrated,1,Unimpacted
B98-2212,1998,LPOTW,Shelf,8.787632221,Toxicity,1,None
B98-2214,1998,LPOTW,Shelf,8.787632221,Benthic,1,None
B98-2214,1998,LPOTW,Shelf,8.787632221,Chemistry,1,None
B98-2214,1998,LPOTW,Shelf,8.787632221,SQO Integrated,1,Unimpacted
B98-2214,1998,LPOTW,Shelf,8.787632221,Toxicity,2,Low
B98-2217,1998,LPOTW,Shelf,8.787632221,Benthic,1,None
B98-2217,1998,LPOTW,Shelf,8.787632221,Chemistry,1,None
B98-2217,1998,LPOTW,Shelf,8.787632221,SQO Integrated,1,Unimpacted
B98-2217,1998,LPOTW,Shelf,8.787632221,Toxicity,1,None
B98-2218,1998,LPOTW,Shelf,8.787632221,Benthic,1,None
B98-2218,1998,LPOTW,Shelf,8.787632221,Chemistry,1,None
B98-2218,1998,LPOTW,Shelf,8.787632221,SQO Integrated,9,Inconclusive
B98-2218,1998,LPOTW,Shelf,8.787632221,Toxicity,4,High
B98-2221,1998,sdmari,Ports/Marinas/Bays,0.4359,Benthic,2,Low
B98-2221,1998,sdmari,Ports/Marinas/Bays,0.4359,Chemistry,3,Moderate
B98-2221,1998,sdmari,Ports/Marinas/Bays,0.4359,SQO Integrated,3,Possibly impacted
B98-2221,1998,sdmari,Ports/Marinas/Bays,0.4359,Toxicity,2,Low
B98-2222,1998,sdmari,Ports/Marinas/Bays,0.4359,Benthic,2,Low
B98-2222,1998,sdmari,Ports/Marinas/Bays,0.4359,Chemistry,3,Moderate
B98-2222,1998,sdmari,Ports/Marinas/Bays,0.4359,SQO Integrated,3,Possibly impacted
B98-2222,1998,sdmari,Ports/Marinas/Bays,0.4359,Toxicity,2,Low
B98-2223,1998,sdmari,Ports/Marinas/Bays,0.4359,Benthic,2,Low
B98-2223,1998,sdmari,Ports/Marinas/Bays,0.4359,Chemistry,3,Moderate
B98-2223,1998,sdmari,Ports/Marinas/Bays,0.4359,SQO Integrated,3,Possibly impacted
B98-2223,1998,sdmari,Ports/Marinas/Bays,0.4359,Toxicity,2,Low
B98-2224,1998,sdmari,Ports/Marinas/Bays,0.4359,Benthic,1,None
B98-2224,1998,sdmari,Ports/Marinas/Bays,0.4359,Chemistry,2,Low
B98-2224,1998,sdmari,Ports/Marinas/Bays,0.4359,SQO Integrated,1,Unimpacted
B98-2224,1998,sdmari,Ports/Marinas/Bays,0.4359,Toxicity,1,None
B98-2225,1998,sdmari,Ports/Marinas/Bays,0.4359,Benthic,2,Low
B98-2225,1998,sdmari,Ports/Marinas/Bays,0.4359,Chemistry,2,Low
B98-2225,1998,sdmari,Ports/Marinas/Bays,0.4359,SQO Integrated,2,Likely unimpacted
B98-2225,1998,sdmari,Ports/Marinas/Bays,0.4359,Toxicity,2,Low
B98-2226,1998,sdmari,Ports/Marinas/Bays,0.4359,Benthic,2,Low
B98-2226,1998,sdmari,Ports/Marinas/Bays,0.4359,Chemistry,3,Moderate
B98-2226,1998,sdmari,Ports/Marinas/Bays,0.4359,SQO Integrated,3,Possibly impacted
B98-2226,1998,sdmari,Ports/Marinas/Bays,0.4359,Toxicity,2,Low
B98-2227,1998,sdmari,Ports/Marinas/Bays,0.4359,Benthic,1,None
B98-2227,1998,sdmari,Ports/Marinas/Bays,0.4359,Chemistry,2,Low
B98-2227,1998,sdmari,Ports/Marinas/Bays,0.4359,SQO Integrated,1,Unimpacted
B98-2227,1998,sdmari,Ports/Marinas/Bays,0.4359,Toxicity,1,None
B98-2228,1998,sdmari,Ports/Marinas/Bays,0.4359,Benthic,2,Low
B98-2228,1998,sdmari,Ports/Marinas/Bays,0.4359,Chemistry,3,Moderate
B98-2228,1998,sdmari,Ports/Marinas/Bays,0.4359,SQO Integrated,1,Unimpacted
B98-2228,1998,sdmari,Ports/Marinas/Bays,0.4359,Toxicity,1,None
B98-2229,1998,sdother,Shelf,1.095573441,Benthic,1,None
B98-2229,1998,sdother,Shelf,1.095573441,Chemistry,2,Low
B98-2229,1998,sdother,Shelf,1.095573441,SQO Integrated,1,Unimpacted
B98-2229,1998,sdother,Shelf,1.095573441,Toxicity,1,None
B98-2230,1998,sdother,Shelf,1.095573441,Benthic,1,None
B98-2230,1998,sdother,Shelf,1.095573441,Chemistry,2,Low
B98-2230,1998,sdother,Shelf,1.095573441,SQO Integrated,1,Unimpacted
B98-2230,1998,sdother,Shelf,1.095573441,Toxicity,2,Low
B98-2231,1998,sdother,Shelf,1.095573441,Benthic,1,None
B98-2231,1998,sdother,Shelf,1.095573441,Chemistry,2,Low
B98-2231,1998,sdother,Shelf,1.095573441,SQO Integrated,1,Unimpacted
B98-2231,1998,sdother,Shelf,1.095573441,Toxicity,1,None
B98-2233,1998,sdother,Shelf,1.095573441,Benthic,1,None
B98-2233,1998,sdother,Shelf,1.095573441,Chemistry,2,Low
B98-2233,1998,sdother,Shelf,1.095573441,SQO Integrated,1,Unimpacted
B98-2233,1998,sdother,Shelf,1.095573441,Toxicity,1,None
B98-2235,1998,sdother,Shelf,1.095573441,Benthic,2,Low
B98-2235,1998,sdother,Shelf,1.095573441,Chemistry,2,Low
B98-2235,1998,sdother,Shelf,1.095573441,SQO Integrated,3,Possibly impacted
B98-2235,1998,sdother,Shelf,1.095573441,Toxicity,3,Moderate
B98-2238,1998,sdother,Shelf,1.095573441,Benthic,2,Low
B98-2238,1998,sdother,Shelf,1.095573441,Chemistry,2,Low
B98-2238,1998,sdother,Shelf,1.095573441,SQO Integrated,2,Likely unimpacted
B98-2238,1998,sdother,Shelf,1.095573441,Toxicity,2,Low
B98-2239,1998,sdother,Shelf,1.095573441,Benthic,2,Low
B98-2239,1998,sdother,Shelf,1.095573441,Chemistry,2,Low
B98-2239,1998,sdother,Shelf,1.095573441,SQO Integrated,1,Unimpacted
B98-2239,1998,sdother,Shelf,1.095573441,Toxicity,1,None
B98-2240,1998,sdother,Shelf,1.095573441,Benthic,1,None
B98-2240,1998,sdother,Shelf,1.095573441,Chemistry,2,Low
B98-2240,1998,sdother,Shelf,1.095573441,SQO Integrated,1,Unimpacted
B98-2240,1998,sdother,Shelf,1.095573441,Toxicity,2,Low
B98-2241,1998,sdother,Shelf,1.095573441,Benthic,1,None
B98-2241,1998,sdother,Shelf,1.095573441,Chemistry,2,Low
B98-2241,1998,sdother,Shelf,1.095573441,SQO Integrated,1,Unimpacted
B98-2241,1998,sdother,Shelf,1.095573441,Toxicity,1,None
B98-2242,1998,sdother,Shelf,1.095573441,Benthic,2,Low
B98-2242,1998,sdother,Shelf,1.095573441,Chemistry,2,Low
B98-2242,1998,sdother,Ports/Marinas/Bays,1.095573441,SQO Integrated,1,Unimpacted
B98-2242,1998,sdother,Shelf,1.095573441,Toxicity,1,None
B98-2243,1998,sdother,Shelf,1.095573441,Benthic,2,Low
B98-2243,1998,sdother,Shelf,1.095573441,Chemistry,2,Low
B98-2243,1998,sdother,Shelf,1.095573441,SQO Integrated,1,Unimpacted
B98-2243,1998,sdother,Shelf,1.095573441,Toxicity,1,None
B98-2244,1998,sdother,Shelf,1.095573441,Benthic,2,Low
B98-2244,1998,sdother,Shelf,1.095573441,Chemistry,2,Low
B98-2244,1998,sdother,Shelf,1.095573441,SQO Integrated,1,Unimpacted
B98-2244,1998,sdother,Shelf,1.095573441,Toxicity,1,None
B98-2245,1998,sdother,Shelf,1.095573441,Benthic,3,Moderate
B98-2245,1998,sdother,Shelf,1.095573441,Chemistry,2,Low
B98-2245,1998,sdother,Shelf,1.095573441,SQO Integrated,4,Likely impacted
B98-2245,1998,sdother,Shelf,1.095573441,Toxicity,3,Moderate
B98-2247,1998,sdother,Shelf,1.095573441,Benthic,2,Low
B98-2247,1998,sdother,Shelf,1.095573441,Chemistry,2,Low
B98-2247,1998,sdother,Shelf,1.095573441,SQO Integrated,2,Likely unimpacted
B98-2247,1998,sdother,Shelf,1.095573441,Toxicity,2,Low
B98-2249,1998,sdother,Shelf,1.095573441,Benthic,2,Low
B98-2249,1998,sdother,Shelf,1.095573441,Chemistry,2,Low
