"objectid","latitude","longitude","stratum","sampledate","analytename","result","units","qualifier","rl","mdl","truevalue","areaweight","surveyyear","analyteclass","analysisdate"
156377,33.75278,-118.2177,"Ports","2008-7-29 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",5,1,"-99",1.307,2008,"Chlorinated Hydrocarbons","2008-11-17 00:00:00"
158915,33.75333,-118.22405,"Ports","2008-7-29 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",5,1,"-99",1.307,2008,"Chlorinated Hydrocarbons","2008-11-17 00:00:00"
158434,33.76666,-118.2489,"Marinas","2008-7-30 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",5,1,"-99",0.726,2008,"Chlorinated Hydrocarbons","2008-11-17 00:00:00"
158806,33.7691,-118.21705,"Ports","2008-7-31 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",5,1,"-99",1.307,2008,"Chlorinated Hydrocarbons","2008-11-17 00:00:00"
113537,33.72421,-118.22437,"Bays","2013-7-13 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",0.1,0.05,"NULL",2.00312386,2013,"Chlorinated Hydrocarbons","2013-8-30 00:00:00"
113941,33.72762,-118.21274,"Bays","2013-7-13 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",0.1,0.05,"NULL",2.00312386,2013,"Chlorinated Hydrocarbons","2013-8-30 00:00:00"
114222,33.72924,-118.23361,"Ports","2013-7-10 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",0.1,0.05,"NULL",0.95519702,2013,"Chlorinated Hydrocarbons","2013-8-30 00:00:00"
114493,33.7311,-118.1924,"Ports","2013-7-13 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",0.1,0.05,"NULL",0.95519702,2013,"Chlorinated Hydrocarbons","2013-9-6 00:00:00"
115049,33.73891,-118.21039,"Ports","2013-7-12 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",0.1,0.05,"NULL",0.95519702,2013,"Chlorinated Hydrocarbons","2013-8-30 00:00:00"
115192,33.73906,-118.23651,"Ports","2013-7-10 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",0.1,0.05,"NULL",0.95519702,2013,"Chlorinated Hydrocarbons","2013-8-30 00:00:00"
115310,33.7398,-118.171317,"Bays","2013-7-9 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",0.07,0.07,"NULL",2.00312386,2013,"Chlorinated Hydrocarbons","2013-8-13 00:00:00"
115868,33.74337,-118.20448,"Ports","2013-7-13 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",0.1,0.05,"NULL",0.95519702,2013,"Chlorinated Hydrocarbons","2013-9-6 00:00:00"
116008,33.744217,-118.168733,"Bays","2013-7-9 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",0.07,0.07,"NULL",2.00312386,2013,"Chlorinated Hydrocarbons","2013-8-13 00:00:00"
116160,33.74553,-118.2157,"Ports","2013-7-10 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",0.1,0.05,"NULL",0.95519702,2013,"Chlorinated Hydrocarbons","2013-8-30 00:00:00"
116307,33.74719,-118.22137,"Ports","2013-7-10 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",0.1,0.05,"NULL",0.95519702,2013,"Chlorinated Hydrocarbons","2013-8-30 00:00:00"
116454,33.74767,-118.19819,"Ports","2013-7-13 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",0.1,0.05,"NULL",0.95519702,2013,"Chlorinated Hydrocarbons","2013-8-30 00:00:00"
116602,33.74853,-118.2489,"Ports","2013-7-11 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",0.1,0.05,"NULL",0.95519702,2013,"Chlorinated Hydrocarbons","2013-8-30 00:00:00"
116741,33.75109,-118.23063,"Ports","2013-7-10 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",0.1,0.05,"NULL",0.95519702,2013,"Chlorinated Hydrocarbons","2013-8-30 00:00:00"
117007,33.75269,-118.21776,"Ports","2013-7-10 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",0.1,0.05,"NULL",0.95519702,2013,"Chlorinated Hydrocarbons","2013-8-30 00:00:00"
117119,33.7529,-118.177433,"Bays","2013-7-3 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",0.07,0.07,"NULL",2.00312386,2013,"Chlorinated Hydrocarbons","2013-8-13 00:00:00"
117403,33.75512,-118.23012,"Ports","2013-7-10 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",0.1,0.05,"NULL",0.95519702,2013,"Chlorinated Hydrocarbons","2013-8-30 00:00:00"
118636,33.767,-118.24938,"Marinas","2013-7-12 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",0.1,0.05,"NULL",0.63701536,2013,"Chlorinated Hydrocarbons","2013-8-30 00:00:00"
118795,33.76871,-118.22204,"Ports","2013-7-12 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",0.1,0.05,"NULL",0.95519702,2013,"Chlorinated Hydrocarbons","2013-9-6 00:00:00"
118941,33.77158,-118.2118,"Ports","2013-7-12 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",0.1,0.05,"NULL",0.95519702,2013,"Chlorinated Hydrocarbons","2013-9-6 00:00:00"
248808,33.744,-118.168733,"Bays","2018-7-24 00:00:00","4,4'-DDT",-88,"ng/g dw","below method detection limit",0.5,0.27,"-88",2.130058,2018,"Chlorinated Hydrocarbons","2018-9-29 00:00:00"
249190,33.740683,-118.17495,"Bays","2018-8-9 00:00:00","4,4'-DDT",8.6,"ng/g dw","none",0.33,0.18,"8.34",2.130058,2018,"Chlorinated Hydrocarbons","2019-9-28 14:11:00"
249191,33.740683,-118.17495,"Bays","2018-8-9 00:00:00","4,4'-DDT",12.14,"ng/g dw","none",0.34,0.18,"8.38",2.130058,2018,"Chlorinated Hydrocarbons","2019-9-27 22:39:00"
249192,33.740683,-118.17495,"Bays","2018-8-9 00:00:00","4,4'-DDT",0.52,"ng/g dw","none",0.33,0.18,"-88",2.130058,2018,"Chlorinated Hydrocarbons","2019-9-27 22:56:00"
249470,33.739633,-118.171533,"Bays","2018-7-25 00:00:00","4,4'-DDT",-88,"ng/g dw","below method detection limit",0.5,0.27,"-88",2.130058,2018,"Chlorinated Hydrocarbons","2018-9-29 00:00:00"
249591,33.733683,-118.211567,"Bays","2018-7-24 00:00:00","4,4'-DDT",-88,"ng/g dw","below method detection limit",0.5,0.27,"-88",2.130058,2018,"Chlorinated Hydrocarbons","2018-9-29 00:00:00"
249750,33.724433,-118.2243,"Bays","2018-8-7 00:00:00","4,4'-DDT",6.58,"ng/g dw","none",1,0.56,"-88",2.130058,2018,"Chlorinated Hydrocarbons","2019-2-27 00:00:00"
255642,33.767233,-118.24965,"Marinas","2018-8-13 00:00:00","4,4'-DDT",3.5,"ng/g dw","none",0.39,0.21,"-88",0.374061,2018,"Chlorinated Hydrocarbons","2019-9-27 23:32:00"
255643,33.767233,-118.24965,"Marinas","2018-8-13 00:00:00","4,4'-DDT",0.8,"ng/g dw","none",0.4,0.21,"-88",0.374061,2018,"Chlorinated Hydrocarbons","2019-9-27 23:49:00"
255909,33.76028,-118.18738,"Marinas","2018-8-9 00:00:00","4,4'-DDT",-88,"ng/g dw","below method detection limit",1,0.56,"-88",0.374061,2018,"Chlorinated Hydrocarbons","2019-3-26 00:00:00"
261349,33.769567,-118.22405,"Ports","2018-8-13 00:00:00","4,4'-DDT",-88,"ng/g dw","below method detection limit",0.31,0.17,"-88",0.914259,2018,"Chlorinated Hydrocarbons","2019-9-28 00:07:00"
261616,33.76245,-118.220433,"Ports","2018-8-10 00:00:00","4,4'-DDT",-88,"ng/g dw","below method detection limit",0.35,0.19,"-88",0.914259,2018,"Chlorinated Hydrocarbons","2019-9-28 03:04:00"
261882,33.753367,-118.188083,"Ports","2018-8-9 00:00:00","4,4'-DDT",1.2,"ng/g dw","none",0.38,0.2,"-88",0.914259,2018,"Chlorinated Hydrocarbons","2019-9-28 16:32:00"
262038,33.7527,-118.218083,"Ports","2018-7-25 00:00:00","4,4'-DDT",-88,"ng/g dw","below method detection limit",0.5,0.27,"-88",0.914259,2018,"Chlorinated Hydrocarbons","2018-9-29 00:00:00"
262125,33.751033,-118.2308,"Ports","2018-8-10 00:00:00","4,4'-DDT",-88,"ng/g dw","below method detection limit",0.29,0.15,"-88",0.914259,2018,"Chlorinated Hydrocarbons","2019-9-28 02:46:00"
262254,33.745217,-118.215967,"Ports","2018-8-7 00:00:00","4,4'-DDT",-88,"ng/g dw","below method detection limit",0.5,0.0398,"-88",0.914259,2018,"Chlorinated Hydrocarbons","2018-11-17 00:00:00"
262396,33.74495,-118.2072,"Ports","2018-8-10 00:00:00","4,4'-DDT",-88,"ng/g dw","below method detection limit",0.32,0.17,"-88",0.914259,2018,"Chlorinated Hydrocarbons","2019-9-28 17:07:00"
262853,33.7396,-118.204383,"Ports","2018-7-25 00:00:00","4,4'-DDT",-88,"ng/g dw","below method detection limit",0.5,0.27,"-88",0.914259,2018,"Chlorinated Hydrocarbons","2018-9-29 00:00:00"
262999,33.738917,-118.2104,"Ports","2018-7-25 00:00:00","4,4'-DDT",-88,"ng/g dw","below method detection limit",0.5,0.27,"-88",0.914259,2018,"Chlorinated Hydrocarbons","2018-9-29 00:00:00"
263088,33.738133,-118.229217,"Ports","2018-8-7 00:00:00","4,4'-DDT",-88,"ng/g dw","below method detection limit",0.33,0.17,"-88",0.914259,2018,"Chlorinated Hydrocarbons","2019-9-28 01:00:00"
263451,33.73165,-118.181083,"Ports","2018-8-9 00:00:00","4,4'-DDT",0.88,"ng/g dw","none",0.31,0.17,"-88",0.914259,2018,"Chlorinated Hydrocarbons","2019-9-28 01:53:00"
263623,33.7311,-118.192083,"Ports","2018-8-7 00:00:00","4,4'-DDT",-88,"ng/g dw","below method detection limit",0.3,0.16,"-88",0.914259,2018,"Chlorinated Hydrocarbons","2019-9-28 00:42:00"
263850,33.728967,-118.233733,"Ports","2018-7-26 00:00:00","4,4'-DDT",-88,"ng/g dw","below method detection limit",0.5,0.27,"-88",0.914259,2018,"Chlorinated Hydrocarbons","2018-9-29 00:00:00"
300324,33.736367,-118.216933,"Bays","2018-7-26 00:00:00","4,4'-DDT",-88,"ng/g dw","below method detection limit",0.5,0.27,"-88",2.130058,2018,"Chlorinated Hydrocarbons","2018-9-29 00:00:00"
91947,33.73996,-118.17133,"Other","1998-7-30 00:00:00","4,4'-DDT",8.42,"ng/g dw","none",1,0.185,"NULL",1.79851,1998,"Chlorinated Hydrocarbons","1998-10-30 00:00:00"
92169,33.7283,-118.20863,"Other","1998-7-29 00:00:00","4,4'-DDT",0.72,"ng/g dw","below reporting limit",1,0.185,"NULL",1.79851,1998,"Chlorinated Hydrocarbons","1998-10-30 00:00:00"
92394,33.72356,-118.20468,"Other","1998-7-29 00:00:00","4,4'-DDT",2.78,"ng/g dw","none",1,0.185,"NULL",1.79851,1998,"Chlorinated Hydrocarbons","1998-12-15 00:00:00"
92500,33.72406,-118.20226,"Other","1998-7-30 00:00:00","4,4'-DDT",2.74,"ng/g dw","none",1,0.185,"NULL",1.79851,1998,"Chlorinated Hydrocarbons","1998-12-15 00:00:00"
93280,33.74921,-118.24268,"Ports","1998-7-29 00:00:00","4,4'-DDT",9.24,"ng/g dw","none",1,0.185,"NULL",1.42011,1998,"Chlorinated Hydrocarbons","1998-12-15 00:00:00"
93377,33.74745,-118.23728,"Ports","1998-7-29 00:00:00","4,4'-DDT",9.78,"ng/g dw","none",1,0.185,"NULL",1.42011,1998,"Chlorinated Hydrocarbons","1998-12-15 00:00:00"
93527,33.74086,-118.22666,"Ports","1998-7-28 00:00:00","4,4'-DDT",2.56,"ng/g dw","none",1,0.185,"NULL",1.42011,1998,"Chlorinated Hydrocarbons","1998-12-15 00:00:00"
184402,33.73453,-118.24255,"Ports","1998-7-31 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",3.8,1,"NULL",1.42011,1998,"Chlorinated Hydrocarbons","1999-3-21 00:00:00"
183966,33.73895,-118.21028,"Ports","1998-7-29 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",3.8,1,"NULL",1.42011,1998,"Chlorinated Hydrocarbons","1999-3-20 00:00:00"
183687,33.73318,-118.19975,"Ports","1998-7-29 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",3.8,1,"NULL",1.42011,1998,"Chlorinated Hydrocarbons","1999-3-20 00:00:00"
93891,33.73136,-118.193,"Ports","1998-7-29 00:00:00","4,4'-DDT",0.988,"ng/g dw","below reporting limit",1,0.185,"NULL",1.42011,1998,"Chlorinated Hydrocarbons","1998-12-15 00:00:00"
183469,33.73118,-118.18401,"Ports","1998-7-29 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",3.8,1,"NULL",1.42011,1998,"Chlorinated Hydrocarbons","1999-3-20 00:00:00"
157221,33.76625,-118.2409,"Marinas","1998-7-31 00:00:00","4,4'-DDT",1.4,"ng/g dw","below reporting limit",3.8,1,"NULL",2.43572,1998,"Chlorinated Hydrocarbons","1999-3-21 00:00:00"
156128,33.73415,-118.23143,"Other","1998-7-31 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",3.8,1,"NULL",1.79851,1998,"Chlorinated Hydrocarbons","1999-3-21 00:00:00"
102712,33.73086,-118.2355,"Other","1998-7-31 00:00:00","4,4'-DDT",0.4,"ng/g dw","none",3.8,1,"NULL",1.79851,1998,"Chlorinated Hydrocarbons","1999-3-21 00:00:00"
65336,33.7691,-118.22448,"Ports","1998-7-31 00:00:00","4,4'-DDT",6.8,"ng/g dw","none",3.8,1,"NULL",1.42011,1998,"Chlorinated Hydrocarbons","1999-3-21 00:00:00"
119668,33.75336,-118.22408,"Ports","1998-7-29 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",3.8,1,"NULL",1.42011,1998,"Chlorinated Hydrocarbons","1999-3-20 00:00:00"
66354,33.7508,-118.23036,"Ports","1998-7-29 00:00:00","4,4'-DDT",0.7,"ng/g dw","none",3.8,1,"NULL",1.42011,1998,"Chlorinated Hydrocarbons","1999-3-20 00:00:00"
